Surname,Gender,Current Institution,Country of current work,Country of birth/citizenship,PhD or highest degree awarding institution ,PhD or highest degree awarding country,IPCC representing country (i.e. Country of residence from IPCC doc),IPCC AR5 WGIII chapter,Role in the chapter,Other Institution 1,Other Institution 2,Other Institution 3,Other Institution 4,Other Institution 5,Other Institution 6,Other Institution 7,Other Institution 8,Other Institution 9,Other Institution 10,Other Institution 11,Other Institution 12,Other Institution 13,Other Institution 13,Other Institution 14,Other Institution 15
Abdel-Aziz,1,CDM,Egypt,Egypt,NCSU,USA,Egypt,10,LA,AuCairo,NCSU,Nexant_Consulting,Envirotech_Consulting,,,,,,,,,,,,
Acosta-Moreno,1,UNFCCC,Cuba,Cuba,CNIC,Cuba,Cuba,14,LA,IPCC,CITMA,COMARNA,,,,,,,,,,,,,
Acquaye,1,UoKent,UK,MD,DIT,Ireland,UK,10,LA,UoYork,UoSheffield,,,,,,,,,,,,,,
Agrawala,1,OECD,France,MD,UoPrinceton,USA,France,14,CLA,UoPrinceton,UoColumbia,UoHarvard,,,,,,,,,,,,,
Ahammad,1,DAFF,Australia,Australia,ANU,Australia,Australia,11,LA,UoWestern_Australia,ABARES,,,,,,,,,,,,,,
Ahmed,1,EEAA,Egypt,Egypt,MTC,Egypt,Egypt,1,LA,MTC,GANT,Nubian_Sons,UoAin_Shams,Elfranaa_Academy,MCMS,,,,,,,,,,
Akbari,1,UoConcordia,Canada,MD,UoCalifornia_Berkeley,USA,Canada,9,LA,ACEEE,ASTM,,,,,,,,,,,,,,
Akimoto,1,UoTokyo,Japan,Japan,YNU,Japan,Japan,6,LA,RITE,,,,,,,,,,,,,,,
Allwood,1,UoCambridge,UK,UK,ICL,UK,UK,10,LA,Alcoa_TC,UoCambridge,,,,,,,,,,,,,,
Attzs,0,UoWest_Indies,Trinidad_Tobago,MD,UoWest_Indies/UoLondon,Trinidad_Tobago/UK,Trinidad_Tobago,3,RE,UoWest_Indies,CDB,IDB,World_Bank,TobagoHA,,,,,,,,,,,
Babiker,1,Saudi_Aramco,Saudi_Arabia,Saudi_Arabia,MD,MD,Saudi_Arabia,6,LA,MD,,,,,,,,,,,,,,,
Barreto-Gómez,1,AEA,Austria,MD,ETH_Zurich,Austria,Austria,14,LA,UPME,UoColombia,PSI,IIASA,,,,,,,,,,,,
Barrett,1,UoLeeds,UK,UK,UoLiverpool,UK,UK,5,LA,CenSA,UoLiverpool,Ove_Arup,UoYork/SEI,,,,,,,,,,,,
Barua,1,BGEF,Bangladesh,Bangladesh,UoChittagong,Bangladesh,Bangladesh,16,LA,WFC,BSREA,Grameen_Bank,Grameen_Shakti,,,,,,,,,,,,
Bashmakov,1,RCEE,Russia,Russia,MD,MD,Russia,7,CLA,UNEP,UNDP,World_Bank,,,,,,,,,,,,,
Bertoldi,1,European_Comission,Italy,Italy,UoPadova,Italy,Italy,9,LA,JET,,,,,,,,,,,,,,,
Bigio,1,GWU,USA,Italy,UoRome,Italy,USA,12,LA,World_Bank,,,,,,,,,,,,,,,
"Blanco, Gabriel",1,UNICEN,Argentina,MD,MD,MD,Argentina,5,CLA,Dept_climate_change_Argentina,,,,,,,,,,,,,,,
"Blanco, Hilda",0,UoSouthern_California,USA,MD,UoCalifornia_Berkeley,USA,USA,12,LA,UoWashington,UoSouthern_California,UoNew_Jersey,UoColumbia,,,,,,,,,,,,
Blanford,1,EPRI,USA,MD,UoStanford,USA,USA,6,LA,GCEP,UoStanford,IEA,,,,,,,,,,,,,
Bolwig,1,DTU,Denmark,Denmark,UoCopenhagen,Denmark,Denmark,4,LA,DIIS,IFPRI,GVC,,,,,,,,,,,,,
Bosetti,0,UoBocconi,Italy,Italy,UoMilano,Italy,Italy,2,LA,ERC,Princeton_EI,CMCC,NOAA,UoSassari,UoMilano,,,,,,,,,,
Bouille,1,Bariloche_Foundation,Argentina,Argentina,UoCologne,Germany,Argentina,3,RE,UNFCCC,FAO,PNUD,,,,,,,,,,,,,
Brewer,1,UoGeorgetown,USA,USA,UoMichigan,USA,USA,13,LA,ICTSD,UoFriederich-Alexander,CEPS,World_Bank,OECD,,,,,,,,,,,
Broome,1,UoOxford,UK,UK,MIT,USA,UK,3,LA,UoLondon,UoBristol,UoSt_Andrews,,,,,,,,,,,,,
Brown,0,SPP_GaTech,USA,MD,UoOhio,USA,USA,9,RE,UoIllinois,UoOhio_Wesleyan,UoOhio,Department_Environmental_Protection_Connecticut,ORNL,,,,,,,,,,,
Bruckner,1,UoLeipzig,Germany,Germany,MD,Germany,Germany,7,CLA,Tech_UoBerlin,UoLeipzig,,,,,,,,,,,,,,
Bruvoll,0,Vista_Analyse,Norway,Norway,UoOslo,Norway,Norway,3,LA,Statistics_Norway,European_Comission,UoOslo,NRC,,,,,,,,,,,,
Bustamante,0,UoBrasilia,Brazil,Brazil,UoTrier,Germany,Brazil,11,CLA,UoBrasilia,MCTI,UERJ,,,,,,,,,,,,,
Cabeza,0,UdL,Spain,Spain,IQS,Spain,Spain,9,LA,UdL,US_DA_ERRC,,,,,,,,,,,,,,
Cariño-Olvera,0,UABCS,Mexico,Mexico,EHESS,France,Mexico,3,LA,MD,,,,,,,,,,,,,,,
Carraro,1,UoVenice,Italy,Italy,UoPrinceton,USA,Italy,16,RE/VC,ICCG,CMCC,HEEP,ANU,UoMonaco,CEPR,World_Bank,UoParisI,UoUdine,UoAix-en-Provence,UoParisX,LUISS,ERC,CEPS,FEEM,
Ceron,1,UoLimoges,France,France,EHESS,France,France,10,LA,EHESS,EPHE,CIRED,,,,,,,,,,,,,
Cervero,1,UoCalifornia_Berkeley,USA,MD,UoCalifornia_LosAngeles,USA,USA,12,RE,Harvard_IID,SCAG,US_Navy,,,,,,,,,,,,,
"Chen, Wenying",0,UoTsinghua,China,MD,UoTsinghua,China,China,6,RE,UNFCCC,PSI,,,,,,,,,,,,,,
"Chen, Ying",0,CASS,China,MD,MD,MD,China,4,LA,MD,,,,,,,,,,,,,,,
