Surname,PhD or Highest Degree,Research Domain 1,Research Domain 2,Research Domain 3,Academic Discipline
Abdel-Aziz,Environmental Engineering,Environmental Impact & Risk Assessment,Energy Systems,Climate & Energy Policy,Engineering
Acosta-Moreno,Technical Engineering,Environmental Engineering,Environmental Policy,,Engineering
Acquaye,Energy & Sustainability,Energy Systems,Environmental Engineering,Land Use Science,Engineering
Agrawala,"Science, Technology, Environmental Policy",Environmental & Climate Economics,Climate & Energy Policy,,Social Sciences
Ahammad,Economics,Computational Modelling (IAM),Energy Systems,Land Use Science,Economics
Ahmed,Engineering,Environmental Engineering,Climate & Energy Policy,,Engineering
Akbari,Nuclear Engineering,Technology Policy & Innovation,Environmental Engineering,,Engineering
Akimoto,Technology,Energy Systems,,,Engineering
Allwood,Engineering,Environmental Engineering,Biophysical & Ecological Modelling,,Engineering
Attzs,Economics,Environmental & Climate Economics,Environmental Impact & Risk Assessment,,Economics
Babiker,MD,,,,MD
Barreto-Gómez,Energy Systems,Energy Systems,Climate & Energy Policy,,Engineering
Barrett,Ecological Economics,Energy Systems,Climate & Energy Policy,,Economics
Barua,Economics*,Technology Policy & Innovation,Environmental Policy,,Social Sciences
Bashmakov,Economics,Energy Systems,,,Economics
Bertoldi,Electrical Engineering,Energy Systems,Climate & Energy Policy,,Engineering
Bigio,Architecture & Urban Planning*,Urban Planning,Sustainable Development,,Social Sciences
"Blanco, Gabriel",Engineering,Energy Systems,Climate & Energy Policy,,Engineering
"Blanco, Hilda",City & Regional Planning,Urban Planning,,,Social Sciences
Blanford,Engineering & Management Science,Environmental & Climate Economics,Environmental Impact & Risk Assessment,Climate & Energy Policy,Engineering
Bolwig,Geography,Climate & Energy Policy,,,Social Sciences
Bosetti,Mathematics,Energy Systems,Climate & Energy Policy,Technology Policy & Innovation,"Physical, Natural & Applied Sciences"
Bouille,Economics,Environment & Climate Economics,,,Economics
Brewer,Business Administration,Climate & Energy Policy,Environmental Policy,,Social Sciences
Broome,Economics,Philosophy & Ethics,,,Humanities
Brown,Philosophy,Philosophy & Ethics,Climate & Energy Policy,Environmental Policy,Humanities
Bruckner,Theoretical Physics,Theoretical Physics,,,"Physical, Natural & Applied Sciences"
Bruvoll,Economics,Environmental & Climate Economics,Development Economics,Climate & Energy Policy,Economics
Bustamante,Geobotanics,Biophysical & Ecological Modelling,Land Use Science,Environmental Impact & Risk Assessment,"Physical, Natural & Applied Sciences"
Cabeza,Industrial Engineering,Agro-Environmental Engineering,Energy Systems,,Engineering
Cariño-Olvera,Environmental History,Anthropology,Sustainable Development,,Humanities
Carraro,Economics,Climate & Energy Policy,Technology Policy & Innovation,,Economics
Ceron,Development Economics,Climate & Energy Policy,,,Social Sciences
Cervero,Urban Planning,Urban Planning,Technology Policy & Innovation,,Engineering
"Chen, Wenying",Energy Systems,Energy Systems,Climate & Energy Policy,,Engineering
"Chen, Ying",MD,,,,MD
Chimanikire,International Relations,Environmental Policy,,,Social Sciences
Chingambo,International Relations,Climate Finance,,,Social Sciences
Chum,Physical Chemistry,Environmental Engineering,Climate & Energy Policy,,Engineering
Clark,Agriculture Studies,Biophysical & Ecological Modelling,Environmental Engineering,,"Physical, Natural & Applied Sciences"
Clarke,Engineering,Environmental Engineering,Environmental & Climate Economics,,Engineering
Clift,Chemical Engineering,Energy Systems,Environmental Engineering,,Engineering
