X,Y,State Code,County Code,Site Num,Parameter Code,POC,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
-121.784217,37.687526,"06","001","0007",88101,3,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,221,61,N,221,365,0,0,0,0,Certification not required,0,7.208597,3.98636,24,2022/01/16 00:00:00+00,20,2022/02/04 00:00:00+00,19.5,2022/01/13 00:00:00+00,18.7,2022/02/12 00:00:00+00,,,,,19.5,18.4,15,12.7,9,6.1,3.2,Livermore,793 Rincon Ave.,California,Alameda,Livermore,"San Francisco-Oakland-Hayward, CA",2022/10/18
-122.169935,37.743065,"06","001","0009",88101,3,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,243,67,N,243,365,0,0,0,0,Certification not required,0,7.94321,4.267151,25.3,2022/07/04 00:00:00+00,23.9,2022/01/13 00:00:00+00,20.5,2022/02/05 00:00:00+00,20.3,2022/02/04 00:00:00+00,,,,,20.5,18.8,16.1,13.7,10.5,7,3.6,Oakland,9925 International Blvd,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2022/10/18
-122.282347,37.814781,"06","001","0011",88101,3,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,242,66,N,242,365,0,0,0,0,Certification not required,0,7.466529,5.067756,28.1,2022/01/13 00:00:00+00,25,2022/02/05 00:00:00+00,24.1,2022/01/12 00:00:00+00,21.7,2022/02/04 00:00:00+00,,,,,24.1,20.5,17.3,14.1,10.5,6.4,2.2,Oakland West,1100 21st Street,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2022/10/18
-122.263376,37.793624,"06","001","0012",88101,3,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,241,66,N,241,365,0,0,0,0,Certification not required,0,8.694191,4.569041,27.1,2022/01/13 00:00:00+00,24.6,2022/01/12 00:00:00+00,22.4,2022/02/05 00:00:00+00,22,2022/02/04 00:00:00+00,,,,,22.4,21,16.7,14.7,12.1,7.7,3.8,Laney College,Laney College Eighth St. parking lot Aisle J,California,Alameda,Oakland,"San Francisco-Oakland-Hayward, CA",2022/10/18
-121.903019,37.701222,"06","001","0015",88101,3,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,239,65,N,239,365,0,0,0,0,Certification not required,0,7.206695,3.80437,23.4,2022/01/13 00:00:00+00,21.3,2022/08/15 00:00:00+00,19.5,2022/01/16 00:00:00+00,18.4,2022/02/04 00:00:00+00,,,,,19.5,18.2,14.9,12.8,8.9,6.3,3.2,Pleasanton - Owens Ct,Owens Ct.,California,Alameda,Pleasanton,"San Francisco-Oakland-Hayward, CA",2022/10/18
-121.84047,39.76168,"06","007","0008",88101,3,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,169,46,N,169,365,0,0,0,0,Certification not required,0,5.805917,5.183866,24.9,2022/01/01 00:00:00+00,22.4,2022/01/13 00:00:00+00,21.4,2022/01/12 00:00:00+00,21.4,2022/01/18 00:00:00+00,,,,,22.4,21.4,18.4,13.7,7.2,3.9,1.3,Chico-East Avenue,"984 East Avenue, Chico",California,Butte,Chico,"Chico, CA",2022/10/13
-120.680277,38.20185,"06","009","0001",88101,3,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,171,47,N,171,365,0,0,0,0,Certification not required,0,5.964912,3.898649,19.1,2022/01/14 00:00:00+00,16.6,2022/01/22 00:00:00+00,16.4,2022/01/18 00:00:00+00,16.1,2022/02/03 00:00:00+00,,,,,16.6,16.1,14.5,12.3,7.4,4.8,2.2,San Andreas-Gold Strike Road,"501 GOLD STRIKE ROAD, SAN ANDREAS",California,Calaveras,San Andreas,,2022/10/14
-122.281803,39.021221,"06","011","0007",88101,1,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),Events Included,42,12,N,42,365,0,0,0,0,Certification not required,0,10.75,1.486566,15.3,2022/01/13 00:00:00+00,13.7,2022/03/01 00:00:00+00,13.2,2022/01/18 00:00:00+00,12.7,2022/03/02 00:00:00+00,,,,,15.3,15.3,13.2,12.6,11.4,10.7,9.1,Cortina Indian Rancheria,"CORTINA INDIAN RANCHERIA, SPRING VALLEY RD, WILLIAMS",California,Colusa,Cortina Indian Rancheria,,2022/03/17
-121.99887,39.18919,"06","011","1002",88101,3,NAD83,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,179,49,N,179,365,0,0,0,0,Certification not required,0,6.422346,4.729058,25.2,2022/01/20 00:00:00+00,24.3,2022/01/28 00:00:00+00,22.1,2022/01/24 00:00:00+00,20.4,2022/02/04 00:00:00+00,,,,,24.3,20.4,16.1,14,8.4,4.8,2.1,Colusa-Sunrise Blvd,"100 SUNRISE BLVD., COLUSA",California,Colusa,Colusa,,2022/10/13
-122.026154,37.936013,"06","013","0002",88101,3,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,,2022,Micrograms/cubic meter (LC),No Events,231,63,N,231,365,0,0,0,0,Certification not required,0,6.654978,3.786424,22.1,2022/01/16 00:00:00+00,18.9,2022/02/04 00:00:00+00,18.7,2022/01/23 00:00:00+00,18.5,2022/01/12 00:00:00+00,,,,,18.7,16.5,14,12.2,8.4,5.9,2.6,Concord,2956-A TREAT BOULEVARD,California,Contra Costa,Concord,"San Francisco-Oakland-Hayward, CA",2022/10/18
